date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,surface_pressure_mean,et0_fao_evapotranspiration_sum,std_avg_temperature,sunrise,sunset,peninsular_max_temp,peninsular_min_temp,is_national_holiday
2025-03-27,14.780846545525476,10.088479571312,15.776080356112326,5.13088931264001,8.010286729978304,14.717438061767776,31.4577313002419,18.025218066688808,0.2568289548762621,0.2568289548762621,0.0,1.2457153472782152,942.6266513171355,2.676151328314282,3.4460391348074633,1743055558,1743100440,18.35,-0.8,0
2025-03-28,11.494304799533353,10.76735797927484,17.05745365400297,5.557349911837331,8.62039065094364,17.198342174163226,36.880392927688575,20.67265929105599,0.20402081539352307,0.20402081539352307,0.0,0.7182030545937451,943.3733936085156,3.1944174630367677,3.327150935916907,1743141861,1743186903,20.4445,0.0,0
2025-03-29,13.217369553843886,10.841010676020717,16.267670910024346,6.118447612048134,7.675936391575233,23.360013317091973,48.549729389602994,20.61947260035732,0.27930577865104467,0.27930577865104467,0.0,1.1193259972489646,945.694846324013,3.366327641094128,4.049189219786731,1743228165,1743273365,22.633,1.2,0
2025-03-30,2.319459719924754,10.653550749846696,17.436523828892035,4.632921942167313,7.864683283331346,17.61993368966604,37.11556701317807,22.878834210817562,0.005345539059906094,0.005345539059906094,0.0,0.040091542949295705,946.2033733286889,3.6015340008241243,3.5435708595761954,1743314468,1743359827,19.85,-1.9,0
2025-03-31,3.936463887604332,13.287342201166505,21.50300826075518,6.4329545773813335,11.230063207795027,14.09812993275783,29.71900549088918,23.267880065297476,0.00748549384179988,0.00748549384179988,0.0,0.048127243118468326,942.6847362159679,3.995507975208106,2.5621033160223696,1743400770,1743446290,23.85,0.85,0
2025-04-01,16.13060375367786,13.565638054400063,20.096920980653696,8.361606160787009,11.963434551342154,13.884248009711616,29.608982532316716,21.015642025960886,0.3388403385683967,0.3388403385683967,0.0,0.5976201204762135,935.9828542183078,3.582048477966845,1.7730689263475947,1743487072,1743532752,22.55,2.6590002,0
2025-04-02,52.1562294129593,11.903981068925631,16.34029049796218,8.260351170819394,10.099493622432151,20.933005111144052,44.23932471305673,15.746492652057741,6.10149508911643,6.092224525012649,0.00648935191931888,7.740436607693403,931.9235987396639,2.47489077829944,2.505659575358673,1743573375,1743619215,19.5,4.3,0
2025-04-03,46.841255763455415,11.797966555624573,15.387628649676175,8.785135613321131,9.662598002725682,20.09135594462363,42.17692916188596,12.228785929421807,7.820554795037197,7.78924876941031,0.02191421998766782,9.419225995667917,936.6853118006411,1.979193921667536,2.784723744781618,1743659677,1743705677,19.15,4.3,0
2025-04-04,46.8986060111141,12.963085565639096,17.437559337528068,9.782755668827134,10.808225588546032,25.920575386616786,55.57620566449865,15.420919876203577,8.892792880206608,8.892792880206608,0.0,10.924376274723715,935.5167089470388,2.472716178144121,2.546614170681694,1743745979,1743792139,20.7,6.0,0
2025-04-05,42.25324362454493,12.638827124991609,17.399553995362798,8.730610233609264,10.909274216035696,16.014975329442954,33.64825001940347,16.91135063400212,1.706134526148515,1.706134526148515,0.0,4.889956758209617,939.8133336331009,2.649532293018664,2.595913490560639,1743832281,1743878602,19.85,4.4,0
